year,month,wave_height,time
1988,10,1.9201884200723787,1988-10-01T00:00:00Z
1988,11,2.1274999995612442,1988-11-01T00:00:00Z
1988,12,2.1719891742698563,1988-12-01T00:00:00Z
1989,1,2.217408901203661,1989-01-01T00:00:00Z
1989,2,2.118712572815889,1989-02-01T00:00:00Z
1989,3,1.9288617878909995,1989-03-01T00:00:00Z
1989,4,1.6940027899738779,1989-04-01T00:00:00Z
1989,5,1.3308965539110118,1989-05-01T00:00:00Z
1989,6,1.0235875728776904,1989-06-01T00:00:00Z
1989,7,0.9294836981141053,1989-07-01T00:00:00Z
1989,8,1.1296448071227692,1989-08-01T00:00:00Z
1989,9,1.5861538446449728,1989-09-01T00:00:00Z
1989,10,1.5222784790057164,1989-10-01T00:00:00Z
1989,11,2.0171052609619347,1989-11-01T00:00:00Z
1989,12,NA,1989-12-01T00:00:00Z
1990,1,2.1511999953587853,1990-01-15T17:00:00Z
1990,2,2.2588333345452916,1990-02-01T00:00:00Z
1990,3,1.5985632181681428,1990-03-01T00:00:00Z
1990,4,1.7415841534586263,1990-04-01T00:00:00Z
1990,5,1.5718600971236327,1990-05-01T00:00:00Z
1990,6,1.2087349414107302,1990-06-01T00:00:00Z
1990,7,0.9279511558799284,1990-07-01T00:00:00Z
1990,8,0.8349932732203448,1990-08-01T00:00:00Z
1990,9,1.2340306804269925,1990-09-01T00:00:00Z
1990,10,1.7048648611516535,1990-10-01T00:00:00Z
1990,11,2.166620304007524,1990-11-01T00:00:00Z
1990,12,2.2233783719507416,1990-12-01T00:00:00Z
1991,1,1.8995951377106735,1991-01-01T00:00:00Z
1991,2,1.8168656709478859,1991-02-01T00:00:00Z
1991,3,2.3926829270877152,1991-03-01T00:00:00Z
1991,4,1.44528832256207,1991-04-01T00:00:00Z
1991,5,1.0555107555882919,1991-05-01T00:00:00Z
1991,6,1.094568244635561,1991-06-01T00:00:00Z
1991,7,0.8762483174099451,1991-07-01T00:00:00Z
1991,8,1.0671806215320914,1991-08-01T00:00:00Z
1992,1,1.801250006258489,1992-01-14T01:00:00Z
1992,2,2.0591240879102934,1992-02-01T00:00:00Z
1992,3,2.020523131373422,1992-03-01T00:00:00Z
